Nombre del vehículo,Velocidad Máxima (Km/h),Aceleración 0 a 100 Km/h (seg),Rango (Km),Carga rápida (Km/h),Europa (€)
Porsche Taycan Turbo S Cross Turismo,250.0,2.5,475.0,1050.0,198066.66666666666
Fiat 500e Cabrio 24 kWh,135.0,9.0,135.0,230.0,33740.0
Genesis GV60 Sport,200.0,5.5,380.0,990.0,60782.5
Fiat 500e 3+1 24 kWh,135.0,9.0,135.0,230.0,30990.0
NIO EL6 75 kWh,200.0,4.5,350.0,520.0,66700.0
Porsche Taycan Turbo S Sport Turismo,260.0,2.4,460.0,1010.0,197600.0
Aiways U6,160.0,7.0,350.0,430.0,48281.5
VinFast VF 8 Plus Extended Range,200.0,5.5,425.0,550.0,59340.0
Porsche Taycan 4S Plus Sport Turismo,250.0,3.7,495.0,1090.0,120649.66666666667
NIO EL7 75 kWh,200.0,3.9,340.0,510.0,87400.0
XPENG G6 RWD Long Range,200.0,6.7,465.0,970.0,50000.0
Porsche Taycan Sport Turismo,230.0,4.8,445.0,980.0,99266.66666666667
Porsche Taycan 4S Sport Turismo,250.0,3.7,430.0,950.0,115433.33333333333
Abarth 500e Convertible,155.0,7.0,225.0,370.0,39891.666666666664
Porsche Taycan Turbo Cross Turismo,250.0,2.8,495.0,1090.0,165566.66666666666
Mercedes-Benz EQV 250 Long,160.0,12.0,215.0,200.0,75282.0
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,160.0,12.0,215.0,200.0,69309.0
Porsche Taycan Turbo Sport Turismo,260.0,2.7,470.0,1030.0,165133.33333333334
Mercedes-Benz eVito Tourer Long 60 kWh,160.0,12.0,220.0,210.0,68398.0
Mercedes-Benz EQV 250 Extra-Long,160.0,12.0,210.0,200.0,76217.0
Genesis GV60 Sport Plus,235.0,4.0,365.0,950.0,70302.5
XPENG G6 AWD Performance,200.0,4.1,455.0,950.0,60000.0
XPENG G6 RWD Standard Range,200.0,6.9,360.0,750.0,45500.0
